"ABLG","MDGA","FOXD3","HCN1","HOXB9","HSPA2","IGF2BP3","LOC1139","LOC114","POU4F1","SLC","OTP","PBX3","AgeYRS"
"37242",0.08,0.29,0.03,0.2,0.38,0.17,0.08,0.59,0.01,0.16,0.12,0.85,18.1
"37243",0.06,0.24,0.02,0.18,0.31,0.16,0.06,0.63,0.01,0.13,0.08,0.85,7
"37244",0.07,0.25,0.02,0.19,0.42,0.17,0.06,0.61,0.01,0.14,0.1,0.89,17.1
"37245",0.07,0.24,0.02,0.18,0.34,0.16,0.06,0.61,0.01,0.14,0.08,0.88,7.1
"37246",0.06,0.26,0.03,0.22,0.32,0.16,0.06,0.61,0.01,0.13,0.07,0.86,7
"37247",0.07,0.23,0.03,0.19,0.37,0.16,0.06,0.65,0.01,0.12,0.08,0.83,9.1
"37248",0.06,0.22,0.02,0.23,0.33,0.16,0.07,0.62,0.01,0.14,0.09,0.9,9.1
"37249",0.08,0.21,0.03,0.28,0.42,0.17,0.06,0.6,0,0.16,0.1,0.87,19.1
"37250",0.06,0.21,0.02,0.2,0.35,0.17,0.06,0.63,0.01,0.12,0.08,0.87,13.1
"37251",0.07,0.22,0.03,0.18,0.33,0.16,0.07,0.61,0.01,0.16,0.1,0.9,15.1
"37252",0.08,0.21,0.03,0.22,0.35,0.16,0.08,0.61,0,0.17,0.13,0.86,19.1
"37253",0.08,0.24,0.02,0.25,0.42,0.17,0.07,0.64,0.01,0.17,0.11,0.88,23.1
"37254",0.07,0.2,0.02,0.18,0.29,0.16,0.06,0.62,0.01,0.14,0.08,0.9,9.1
